epoch,train_loss,val_loss,train_mae,val_mae,lr,train_mae_bin_0,val_mae_bin_0,train_count_bin_0,val_count_bin_0,train_mae_bin_1,val_mae_bin_1,train_count_bin_1,val_count_bin_1,train_mae_bin_2,val_mae_bin_2,train_count_bin_2,val_count_bin_2,train_mae_bin_3,val_mae_bin_3,train_count_bin_3,val_count_bin_3,train_mae_bin_4,val_mae_bin_4,train_count_bin_4,val_count_bin_4,train_mae_bin_5,val_mae_bin_5,train_count_bin_5,val_count_bin_5,train_mae_bin_6,val_mae_bin_6,train_count_bin_6,val_count_bin_6,train_mae_bin_7,val_mae_bin_7,train_count_bin_7,val_count_bin_7
43,0.01154628917681761,0.003695685023056663,0.0011841816995411564,0.001501580718794626,0.0006090716206982715,,,0,0,0.0019013542853181463,0.0024285641499634937,75995,19321,4.15440447471426e-05,3.820570448811238e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
44,0.011516907950268426,0.0036983287167115402,0.0011840796597040709,0.0015024197786855432,0.0005936906572928626,,,0,0,0.0019012366089558195,0.0024299303804964684,75995,19321,4.146690787081881e-05,3.8212547039064335e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
45,0.011549633548663158,0.0036971854549125594,0.0011840775083692902,0.0015013053409458437,0.0005782172325201157,,,0,0,0.0019011773118729866,0.0024291443820064697,75995,19321,4.155581628097025e-05,3.6579622168912544e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
46,0.011499958047080563,0.0036978642794265825,0.0011838988816351835,0.001501855427721006,0.0005626666167821524,,,0,0,0.0019009900789440464,0.0024298156534837637,75995,19321,4.1390905155172015e-05,3.6938401649431594e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
47,0.011543338479605652,0.0036948839314180134,0.001184028873629334,0.0015008309361181388,0.0005470541566592573,,,0,0,0.0019011645148503747,0.002428530855330578,75995,19321,4.145008073017673e-05,3.6324837178331094e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
48,0.011467667004369115,0.003695926337728793,0.0011839212935991954,0.0015009832244073304,0.000531395259764657,,,0,0,0.001901027342136678,0.002428670870192495,75995,19321,4.1389644577286565e-05,3.6496503678928085e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
49,0.011423909218307642,0.0036955706801636416,0.0011839331954543453,0.0015012588691592635,0.0005157053795390644,,,0,0,0.0019008825631932835,0.002428755331989408,75995,19321,4.165118747070141e-05,3.7073959182861585e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
50,0.01160924499318773,0.003699637366294553,0.0011839897971893621,0.0015018445398581493,0.0005000000000000002,,,0,0,0.0019011944073527016,0.00243015428187601,75995,19321,4.13011216790922e-05,3.637574335662702e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
51,0.011510658047571357,0.003694656927593605,0.0011836494463293259,0.0015009414155348422,0.00048429462046093607,,,0,0,0.0019006623132579595,0.002428001802661923,75995,19321,4.126626260795921e-05,3.744490260444521e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
52,0.01154502443370444,0.0036951103115572944,0.0011837732448877452,0.0015015600563051826,0.0004686047402353435,,,0,0,0.0019008048291599556,0.002429735543219397,75995,19321,4.136024877801788e-05,3.6303206357373065e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
53,0.011540047607784383,0.00369933883038955,0.0011839281749255932,0.0015036266771164273,0.000452945843340743,,,0,0,0.0019010085928409407,0.002431242600583441,75995,19321,4.143737758791039e-05,3.92531777748777e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
54,0.011547592553633383,0.003697741299069986,0.0011838043874079613,0.001501689112001547,0.00043733338321784806,,,0,0,0.001900926853448429,0.0024295024096494706,75995,19321,4.124658553826873e-05,3.7004033662063e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
55,0.011586048751162164,0.0036966530498034876,0.0011837305908085976,0.0015014227365208297,0.0004217827674798847,,,0,0,0.0019008410444327798,0.0024287575782625387,75995,19321,4.1191931211108555e-05,3.749297321026055e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
