split,slice_type,slice_value,sample_count,speed_mps_mean,abs_residual_mean,abs_model_comp_mean,abs_gap_mean,mae_lqr_to_opt,mae_pred_to_opt,improvement_abs,comp_to_residual_ratio_mean
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg6.csv,734,1.46730175,0.00170662892,0.00168986557,3.93227971e-05,0.00170662892,3.93227976e-05,0.00166730612,0.993715984
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg7.csv,948,1.24608551,0.00130235022,0.00132347346,6.4929589e-05,0.00130235022,6.49295895e-05,0.00123742063,1.03609921
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg3.csv,770,1.44749569,0.00144090609,0.00143572622,2.83156449e-05,0.00144090609,2.83156455e-05,0.00141259044,1.00132387
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg4.csv,866,1.30366928,0.00114815833,0.0011594823,4.16922683e-05,0.00114815833,4.1692268e-05,0.00110646606,1.0737218
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg5.csv,768,1.49108122,0.001239541,0.00122523621,3.69620126e-05,0.001239541,3.69620131e-05,0.00120257899,1.01042376
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg7.csv,803,1.41173386,0.00175597781,0.00175537827,5.14901025e-05,0.00175597781,5.14901018e-05,0.00170448771,1.00777844
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_1\csv_data\Conventional_flatland_no_1_Excellent_Excellent_Seg8.csv,761,1.42514103,0.00159498245,0.00159433239,3.24612414e-05,0.00159498245,3.24612407e-05,0.00156252121,1.00735182
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg1.csv,823,1.32959728,0.00108096898,0.00108598675,4.31509826e-05,0.00108096898,4.31509829e-05,0.001037818,1.06610415
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg2.csv,798,1.39594182,0.00111233593,0.0011105542,2.3863091e-05,0.00111233593,2.38630903e-05,0.00108847283,1.07872319
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg3.csv,788,1.47425504,0.00147685618,0.001463013,3.14427655e-05,0.00147685618,3.14427663e-05,0.00144541341,0.989599895
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg4.csv,888,1.27872543,0.00106667733,0.00107256521,3.57143127e-05,0.00106667733,3.5714313e-05,0.00103096302,1.0241197
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg5.csv,836,1.3361554,0.0013547404,0.00137330017,6.0093844e-05,0.0013547404,6.00938435e-05,0.00129464655,1.03710781
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg6.csv,807,1.3558955,0.00135035277,0.00135388063,3.94846931e-05,0.00135035277,3.94846942e-05,0.00131086807,1.00704681
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_20\csv_data\Conventional_flatland_no_20_Excellent_Excellent_Seg7.csv,743,1.50853739,0.00160678789,0.0015828156,4.17508719e-05,0.00160678789,4.17508716e-05,0.00156503702,1.00279455
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_21\csv_data\Conventional_flatland_no_21_Excellent_Excellent_Seg2.csv,47,1.55264833,0.0022845956,0.00179962571,0.000487550796,0.0022845956,0.000487550794,0.0017970448,0.789641482
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_23\csv_data\Conventional_flatland_no_23_Excellent_Excellent_Seg1.csv,291,0.817542613,0.00133985639,0.00157803925,0.000381284453,0.00133985639,0.000381284455,0.000958571936,1.392469
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_23\csv_data\Conventional_flatland_no_23_Excellent_Excellent_Seg2.csv,318,1.28340101,0.00159156282,0.00162065577,7.39186293e-05,0.00159156282,7.39186293e-05,0.00151764419,1.10231913
